text,label,islenmis_text
istediğim iconu bulamıyorum sinirliyim ,kizgin,iste iconu bul sinirli
gösteriyor kafayı yiyeceğim ,kizgin,göster kafa yi
farklı tavla oynamayı öğrenmiş delireceğim ,kizgin,fark tavla oyna öğren delir
pazartesilerden diyetlerden nefret ediyorum garfield olabilir miyim ,kizgin,pazartesi diyet nefret ed garfield ol mi
gerçekten mont giymekten nefret ediyorum taşıyamıyorum abi montu cidden yoruluyorum sinirlendim gerçekten ,kizgin,gerçekten mont giy nefret ed taşı abi mont cidden yor sinirlen gerçekten
dişini fırçalamayan tırnak bakım saç bakımı yapmayan kokan insanlardan nefret ediyorum ,kizgin,diş fırçala tırnak bakı saç bakı yap kok insan nefret ed
attığım tivik gitmemiş delireceğim ,kizgin,at tivik git delir
ara agresif oldum utanmasam uykumda küfredeceğim ,kizgin,ara agresif ol utan uyku küfred
nefret öfkeyle beslenen dünyada insanların sevgisi küfür ,kizgin,nefret öfke beslenen dünyada insan sevgi küfür
sinirimden bağıracağım wikipedia lan internet yana wikipedia yana ,kizgin,sinir bağır wikipedia lan internet yana wikipedia yana
takım gol yediğinde kel kafalı başkan küfür edeceğim ,kizgin,tak gol ye kel kafa başkan küfür ed
eljifi çıkarttı hoca hayır küfür edeceğim küfüre yazık ,kizgin,eljifi çıkart ho hayır küfür ed küfüre yazık
okula gitmek istemiyorum avazım çıktığı bağıracağım ,kizgin,okul git iste avaz çık bağır
lan delireceğim boyum kısalmış çekmişim amk boy atın denizlere ,kizgin,lan delir boy kısal çek amk boy at deniz
sinirden köpürdüm an birini ciddi anlamda tokatlamam gerekiyor muhtemelen yarın okuldanda atılırım mis ,kizgin,sinir köpür an biri ciddi anlam tokatla gerek muhtemelen yarın okuldanda atıl mis
sinirden köpürdüm allah kahretsin ,kizgin,sinir köpür allah kahret
vs kanal salak kanal görmedim gerizekalılar sinirden köpürdüm ,kizgin,vs kanal salak kanal gör gerizekalı sinir köpür
ay yemin ediyorum başıma ağrı girdi sinirden köpürdüm annenin çaresizliğini görünce ,kizgin,ay yem ed baş ağrı gir sinir köpür anne çare gör
sinirden köpürdüm gram tahammülüm kalmadı patlıyacam yakında ,kizgin,sinir köpür gram tahammül kal patlıyacam yakında
penaltı yaptı arkadaşım gerideyiz ağzıma gelirse söylüyorum sinirden köpürdüm resmen oldu ,kizgin,penaltı yap arkadaş geri ağz gel söyl sinir köpür resmen ol
gece gece sinirden köpürdüm ,kizgin,gece gece sinir köpür
evin duvarından tut yerdeki halıya öfkeliyim kapı tokatlıcam birazdan ,kizgin,ev duvar tut yer halı öfke kap tokatlıcam birazdan
aralar aşırı öfkeliyim şanslı pıtırcık dayak yemek istiyor ,kizgin,arala aşırı öfke şans pıtırcık dayak yemek ist
gideceğim yere yürüyen merdivenle gitmek istiyorum üşengeç öfkeliyim ,kizgin,gid yer yürü merdiven git ist üşengeç öfke
unutturan herşeye öfkeliyim ,kizgin,unut herşey öfke
gripli öfkeliyim yüzden hepinizi karantinaya alıyorum ,kizgin,grip öfke yüz hep karantina al
yüm dünyaya öfkeliyim biliyor musunuz ,kizgin,yüm dünya öfke bil mu
yaşındayım baştaki tivit silinmiş sinirliyim ,kizgin,yaş baş tivit silin sinirli
ezip attığımız gs aramızda puan delireceğim ,kizgin,ez at gs ara puan delir
aşırı sinirliyim dayak yemek isteyen anıta gelsin ,kizgin,aşırı sinirli dayak yemek iste anıt gel
küfür etmek istemiyorum amına koyayım ,kizgin,küfür et iste am koy
günaydın agresif uyandım dayak yemek isteyen yazsın konum atacağım ,kizgin,günaydın agresif uyan dayak yemek iste yaz konu at
pis küfredesim edeceğim küfür kaliteli amk ,kizgin,pis küfred ed küfür kalite amk
izin verirsen küfür edeceğim kulaklarını kapatır hatırlamanı istemem ,kizgin,iz ver küfür ed kulak kapat hatırla iste
ağzımı açarmayayım numara küfür edeceğim ,kizgin,ağz açarmayayım numara küfür ed
ses annecim bağıracağım televizyonun sesini kıs anne ,kizgin,ses anne bağır televizyon se kıs anne
hayata öfkeli değilim öfkeliyim bebeğim ,kizgin,hayat öfke değil öfke bebeğ
öfkeliyim delireceğim of lan of ,kizgin,öfke delir of lan of
kimseye hayır diyememe huyumdan nefret ediyorum gelse başıma yüzden geliyor ,kizgin,kimse hayır di huy nefret ed gel baş yüz gel
yüzden tiplerden nefret ediyorum roknnroll baybii ,kizgin,yüz tip nefret ed roknnroll baybii
klasik sınavlardan nefret ediyorum test modern çağın sınavıymış geliyor ,kizgin,klasik sınav nefret ed test modern çağ sınav gel
mal kızım sende hırsızsın ,kizgin,mal kız se hırsız
trabzonspor küme düşer oğlum mal ,kizgin,trabzonspor küm düş oğl mal
betül demir mal klibine gerçek hayattan uyarlanmıştır yazıyorsun ,kizgin,betül demir mal klib gerçek hayat uyarla yaz
ateş uyusana mal ,kizgin,ateş uyu mal
sprite içersen seninde paran gidecek mal ,kizgin,sprite içer seninde para gid mal
annem dediki mal git yurtta kal yol çekiyorsun ,kizgin,anne dediki mal git yurt kal yol çek
derdine mal gerizekalı hayır dedik yalan yanlış konuşuyorsun ,kizgin,derd mal gerizekalı hayır de yalan yanlış konuş
bilgisayardan anlayan varsa dm atsın delireceğim ,kizgin,bilgisayar anla var dm at delir
ayşe banu doğumluydu kız delireceğim ,kizgin,ayşe banu doğum kız delir
kedim kızgınlığa girdi ulusa seslenir miyavlıyo yeter delireceğim ,kizgin,kedi kızgın gir ulu seslen miyavlıyo yeter delir
tivit atmış emile zola sevdiğim kadın yazardır delireceğim abi cahilsin bari çaktırma ,kizgin,tivit at em zola sev kadın yaz delir abi cahil bari çaktır
yok arkadaş uyandıramıyorum delireceğim ,kizgin,yok arkadaş uyan delir
temiz delireceğim fırsat kolluyorum kaldı ,kizgin,temiz delir fırsat koll kal
tivitlerimi görmesi gereken görmüyor delireceğim ,kizgin,tivitlerimi gör gerek gör delir
sinirli uyandım yastığa yumruk atacağım dayak yemek isteyen bulsun ,kizgin,sinirli uyan yastığ yumruk at dayak yemek iste bul
gündür çiğköfte yemiyorum delireceğim yakında ,kizgin,gün çiğköfte ye delir yakında
politikacı elitliğini kafam almıyor delireceğim ,kizgin,politika elit kafa al delir
takımlar ceplerine puan koydu puan delireceğim ,kizgin,takım cep puan koy puan delir
resim paylaşmayın allahın cezaları resim paylaşmayın delireceğim yapmayın ,kizgin,resim paylaş allah ceza resim paylaş delir yap
bugün sinirden delireceğim ,kizgin,bugün sinir delir
oradan baktım torbacıya benziyorum gerizekalı ,kizgin,ora bak torba benz gerizekalı
gerizekalı twitter kasıyorsun ,kizgin,gerizekalı twitter kas
gel desem yolu bulamazsın gerizekalı ,kizgin,gel de yol bul gerizekalı
birine şerefsiz hitap etmek mnet bağıracağım nasılsa aynı ,kizgin,biri şeref hitap et mnet bağır nasılsa aynı
allah boy veriyor tip veriyor zekadan kısıyor nabalım gerizekalı ,kizgin,allah boy ver tip ver zeka kıs nabalım gerizekalı
bakışta gerizekalı sandım cidden gerizekalıymışsın ,kizgin,bakış gerizekalı san cidden gerizekalı
baş ağrısıyla güne başladım sinirliyim ilişmeyin ,kizgin,baş ağrı gün başla sinirli iliş
şehri labirent yapmışlar amına koyum sinirliyim ,kizgin,şehr labirent yap am koy sinirli
sinirliyim neye belli ruh halinden acilen çıkmalıyım ,kizgin,sinirli ne belli ruh hal acilen çık
hava kapalı yarın okul aşırı sinirliyim ,kizgin,hava kapalı yarın okul aşırı sinirli
aykut takımdan gitmediği sürece maç anasına bacısına küfür edeceğim ,kizgin,aykut tak git süre maç ana bacı küfür ed
listemde yan apartmana doğru bağıracağım ,kizgin,liste yan apartman doğru bağır
sinirli olmadığım anlamına gelmiyor sıraya girin dayak atacağım ,kizgin,sinirli ol anlam gel sıra gir dayak at
yerlere çekip gitmek istiyor amk tutan lan bağıracağım sonunda ,kizgin,yer çek git ist amk tut lan bağır sonunda
yazıklar bağıracağım ,kizgin,yazık bağır
derste aniden kalkıp allahu ekber bağıracağım vallahi yeter ,kizgin,ders aniden kalk allahu ekber bağır vallahi yeter
üsküdarda onlaynım birazdan üsküdardan yan lo yurdu bağıracağım ,kizgin,üsküdar onlaynım birazdan üsküdar yan lo yu bağır
şeysiniz bağıracağım ,kizgin,şey bağır
gün oldu yetmez ceza bağıracağım suratına suratına olcak ,kizgin,gün ol yet ceza bağır surat surat olcak
millet mal bağıracağım ,kizgin,millet mal bağır
arap görürsem haydi yallah arabistana bağıracağım ,kizgin,arap gör haydi yallah arabistan bağır
an sinirimden pcyi alıp camdan aşağı atmamak kendimi zor tutuyorum ,kizgin,an sinir pc al cam aşağı at kendi zor tut
havaya küfür edicem kış yaz aq karar ver ,kizgin,hava küfür edicem kış yaz aq kar ver
babam makinamı kırdım almam diyor sinir küpüne dönüştü adam ,kizgin,baba makina kır al di sinir küp dönüş ada
çolak kere iğrendim nefret ettim ,kizgin,çolak ker iğren nefret et
maliyet muhasebesi sorunun cevabını bulamıyorum çıldıracağım ,kizgin,maliyet muhasebe soru cevab bul çıldır
yaşındaki çocuk konuşan kızlara sinir oluyorum ,kizgin,yaş çocuk konuş kız sinir ol
dizilerde içki görüntüsünu bulanıklaştıran rtük beyniniz bulanmış gece gece sinirlendim ,kizgin,dizi içki görüntüsünu bulanık rtük beyn bulan gece gece sinirlen
tanrım kafayı yemek üzereyim ,kizgin,tanrı kafa yemek üzere
kızı unutalı sene geçti gördüm sinirlendim ,kizgin,kız unut se geç gör sinirlen
abi kafayı yiyeceğim ,kizgin,abi kafa yi
sinirliyim araç sürmeme izin vermiyorlar anahtar saklamak ,kizgin,sinirli araç sürme iz ver anahtar sakla
eray lütfen defol git bıktık tarıkdan defol yaa defol ,kizgin,eray lütfen defol git bık tarıkdan defol yaa defol
bakın nefret edebilirsiniz numaramı naptınız bilinmeyenin araması hoş ,kizgin,bak nefret ed numara naptınız bilinmeyen ara hoş
arkamdaki kız susmak bilmedi çıldırtacak ,kizgin,arka kız sus bil çıldır
şeylere sinirlendim bacağım ağrıyor sinirlendim sinirliyim ,kizgin,şey sinirlen bacağ ağr sinirlen sinirli
sigarayı bıraktığımdan mutfak spor algılarım değişti sinirleniyorum ,kizgin,sigara bırak mutfak spor algıla değiş sinirlen
sokakta tükürene acayip sinirleniyorum ,kizgin,sokak tükür acayip sinirlen
aklımda işin defol git ,kizgin,akl iş defol git
süre igada kalırsam kafayı yiyeceğim ,kizgin,sür igada kal kafa yi
sinirlendim oynamıyorum superstar bts ulan aşırı gerildim an ,kizgin,sinirlen oyna superstar bts ulan aşırı ger an
allah kimseyi gerizekalı insanlarla sınamasın ,kizgin,allah kimse gerizekalı insan sın
parmak uçlarıma sinir doluyum kafayı yiyeceğim ,kizgin,parmak uç sinir dolu kafa yi
cahil beyinliler bilmişlik yapıyor sinir oluyorum abi ,kizgin,cahil beyin bil yap sinir ol abi
aziz yıldırım defol git fenerbahçe’nin başından ,kizgin,aziz yıldırım defol git fenerbahçe baş
gittin alabildin sandın kızgınım ,kizgin,git al san kızgın
hürrem hain kadın gelmedi kainata bak aklıma geldi sinirlendim ,kizgin,hürrem hain kadın gel kainat bak akl gel sinirlen
fena iftira atıldı üstüme an sinirliyim ,kizgin,fena iftira atıl üst an sinirli
sinirliyim bilmiyorum ,kizgin,sinirli bil
tüpçüden başkan defol git demirören ,kizgin,tüp başkan defol git demirören
kadına laf söyleniyor erkekler melekmiş sinirleniyorum ,kizgin,kadı laf söylen erkek melek sinirlen
küfür ihtiyaç kardeşim etmesek sinir küpü oluruz birbirimizi doğrarız ,kizgin,küfür ihtiyaç kardeş et sinir küp ol birbiri doğra
altanı vurasım an sinirden kudurdum ,kizgin,altan vur an sinir kudur
yemin ederim sinirli halimi görmek istemessiniz ,kizgin,yem ed sinirli hal gör istemessiniz
dolunaydan mıdır agresifim gece ,kizgin,dolunay mı agresif gece
agresifim kesin birini tekmeleyeceğim bugün ,kizgin,agresif kesin biri tekmele bugün
dallanmayı dallama okudum agresifim ,kizgin,dal dallama oku agresif
yemin ederim sizinle uğraşamam benimle muhatap olmayın ,kizgin,yem ed siz uğraş ben muhatap ol
diş ağrısı amk yanağım delireceğim yemin ederim ,kizgin,diş ağrı amk yanağ delir yem ed
sinirliyim sebebini bilmiyorum ,kizgin,sinirli sebeb bil
ara sinirleniyorum geçiyor sinirim ,kizgin,ara sinirlen geç sinir
kolaya giden maçları zora çevirmekte üstümüze yok sinir küpü durumlar ,kizgin,kola gid maç zor çevir üst yok sinir küp durum
kaçıncı sıradayız bende gözükmüyor delireceğim ,kizgin,kaçıncı sıra ben gözük delir
sinirleniyorum kendime sinirlendiğim sinirleniyorum ,kizgin,sinirlen kendi sinirlen sinirlen
sinirlenince cümle kuramamaktan nefret ediyorum ,kizgin,sinirlen cümle kur nefret ed
belalar durduk yere gelip buluyor kafayı yiyeceğim ,kizgin,bela dur yer gel bul kafa yi
gelecek kaygısı defol git saatte sıkboğaz ediyosun insanı ,kizgin,gelecek kaygı defol git saat sıkboğaz ediyosun insa
gecemi geciktiren akşama kızgınım ,kizgin,gece gecik akşam kızgın
rizeli olmakta zor durup dururken sinirleniyorsun bak sinirlendim ,kizgin,rize ol zor dur dur sinirlen bak sinirlen
instagram kafayı yemin ederim takip ettiklerimi takipten çıkarıyor tanımadığım insanları takip ediyor ,kizgin,instagram kafa yem ed takip et takip çıkar tanı insan takip ed
nefret ediyorum günü çalışmaktan ,kizgin,nefret ed gün çalış
malsın farkındayım azcık mantıklı mal ol ,kizgin,mal fark az mantık mal ol
farklı agresifim kaşar yoluklasam sakinleşirim ,kizgin,fark agresif kaşa yoluklasam sakin
kendime konuşurken başkası araya girince sinirleniyorum ,kizgin,kendi konuş başka ara gir sinirlen
fatura kesmeye gelen ekpleri bina içine almak sinir bozucu kimsiniz diyince tepki veriyorlar sanırsın apartman yabancıyız ,kizgin,fatura kes gelen ekpleri bina iç al sinir boz kim diyince tepki ver san apartman yabancı
sinir akıyor kanımdan yemin ederim kafayı yiyeceğim ,kizgin,sinir ak kan yem ed kafa yi
götümün kenarındaki triplere bak atomu parçaladı gerizekalı ,kizgin,göt kenar trip bak atom parçala gerizekalı
benle konuşurken anında görüldü olmazsa sinirleniyorum ,kizgin,ben konuş anında gör ol sinirlen
nazlı an ağır küfürler etmek istiyorum ,kizgin,naz an ağır küfür et ist
istifa etme kovdur mal ,kizgin,istifa et kov mal
umrumda lan mal ,kizgin,umrumda lan mal
sinirliyim soruyorum kendime cevabını bulamadiğim sinirleniyorum ,kizgin,sinirli sor kendi cevab bulamadiğim sinirlen
haber sitesi sanan sayfaların saçma sapan yazılarını doğru sormaktan vazgeçin ,kizgin,haber site san sayfa saçma sap yazı doğru sor vazgeç
dakika hattım aramaya kapanıyor kafayı yiyeceğim gelsin günü avans alayım ,kizgin,dakika hatt ara kapan kafa yi gel gün avans al
ülkede kız yaşamaktan nefret ettim ,kizgin,ülke kız yaşa nefret et
irkçıları bitirelim lütfen sinirleniyorum hemen ,kizgin,irkçıları bitir lütfen sinirlen hemen
ülkemizdeki gerizekalı portföyü bildiğimizden fazlaymış meğer ,kizgin,ülke gerizekalı portföy bil fazla meğer
bi hadsizlik filmde resmen sinirden küplere bindim islamı yerden yere vurdu ,kizgin,bi had film resmen sinir küp bin islam yer yer vur
otu boku ünlü yaptınız saçma sapan tripler çekiyoruz ,kizgin,ot bok ün yap saçma sap trip çek
aziz kiraz saçma sapan insanları yutubır yapıyorsunuz ,kizgin,aziz kiraz saçma sap insan yutubır yap
odada yatak masa varken benimkileri kullanıyorsun mal ,kizgin,oda yatak masa var benimki kullan mal
samimiyetsizlik hissettiğimde sinirleniyorum ,kizgin,samimiyet hisset sinirlen
erken kalkıyorsun üstüne bide mal mal saatin gelmesini bekliyorsun kafayı yiyeceğim ,kizgin,erken kalk üstüne bide mal mal saat gel bekl kafa yi
kapasiteniz küfür hakaret bok zannetme ,kizgin,kapasite küfür hakaret bok zannet
saçma sapan insanlara ayırıyorum iyice mallaştım ,kizgin,saçma sap insan ayır iyi mal
araba tl harcadım bugun trafik cabası sinirliyim ,kizgin,araba tl harca bug trafik caba sinirli
delirmek olduğum sahne eyşan kızgınım ,kizgin,delir ol sahne eyşan kızgın
iphone “yok” yazınca “yök” düzeltiyorsun mal ,kizgin,iphone yok yaz yök düzelt mal
hayatımdan defol git gayri haykırmak istiyorum ,kizgin,hayat defol git gayri haykır ist
agresifim herşeyden nefret edeceğim gece ,kizgin,agresif herşey nefret ed gece
açmadığım arıyosun mal ,kizgin,aç arıyosun mal
kedim veterinere götürdüm nefret ediyor gece saldırmasa bari ,kizgin,kedi veteriner götür nefret ed gece saldır bari
kimya dersinden nefret ediyorum mol çözemiyorum ,kizgin,kimya ders nefret ed mol çöz
banu parlak beyni olman embesildir sinirlendim gece gece ,kizgin,banu parlak beyn ol embesil sinirlen gece gece
sinirlendim sakat insan ,kizgin,sinirlen sakat insan
saçma sapan konuşma lan fatih hocadan bahsederken ,kizgin,saçma sap konuş lan fatih hoca bahsed
bilim adamları tırnak kırılmasına çözüm bulun çıldıracağım ,kizgin,bili adam tırnak kır çöz bul çıldır
doldurmadık insan konmuyoruz sinirlendim ,kizgin,doldur insan kon sinirlen
sanırım öğrenci işleri sayesinde kafayı yiyeceğim ,kizgin,san öğrenci iş sayesinde kafa yi
kendime konuşunca araya girince sinirleniyorum ,kizgin,kendi konuş ara gir sinirlen
an sokağa çıkıp sağda solda eyşana küfürler saçmak istiyorum sinirden delirdim resmen ,kizgin,an sokağ çık sağ sol eyşan küfür saç ist sinir delir resmen
tülin kafasında bardak kıran caner öfkeliyim bugün ,kizgin,tülin kafa bardak kıran caner öfke bugün
yalan söylemene zekamı hafife almana sinirleniyorum ,kizgin,yalan söyle zeka hafif alman sinirlen
kavat oğlum müslüman rahatsız oldum paylaşımına adeta sinirden küplere bindim adi herif ,kizgin,kavat oğl müslüman rahat ol paylaşım adeta sinir küp bin adi herif
acıkınca sinirleniyorum hemen yemek getirin ,kizgin,acık sinirlen hemen yemek getir
amblemi göstericem arabayı vurucan gerizeka önüne bak ,kizgin,amblem göstericem araba vurucan gerizeka ön bak
birinize öfkeliyim denk gelirsem çarparım söyleyeyim ,kizgin,biri öfke denk gel çarp söyle
sakin ol deyince sinirleniyorum ,kizgin,sakin ol deyi sinirlen
aşırı ağzı gevşekleri hatırladım an sinirlendim ,kizgin,aşırı ağz gevşek hatırla an sinirlen
naber nasılsın sorusuna sanane aq diyecek agresif hissediyorum ,kizgin,naber nasıl soru sanane aq di agresif hissed
inanılmaz agresif hissediyorum boş manasız öfke içimde bulamıyorum sebebini yaşayıp geçirmiş dm ,kizgin,inanılmaz agresif hissed boş mana öfke iç bul sebeb yaşa geçir dm
bak arşivlediğim tozlu mesajları okuyup sinirlendim ,kizgin,bak arşivle toz mesaj oku sinirlen
mesaj atınca sinirden küplere bindim ,kizgin,mesaj at sinir küp bin
zeki insanlar çabuk sinirlenir okudum yerde oldu bilmiyorum anda küplere bindim ,kizgin,zeki insan çabuk sinirlen oku yer ol bil an küp bin
bugün yeterince sinirlendim yeter susun ,kizgin,bugün yeterince sinirlen yeter sus
aklıma yanıma geleceksin gerizekalı ,kizgin,akl yan gel gerizekalı
yatmadan ballı süt içiyorum çocukça davranma diyorsun mal ,kizgin,yat ball süt iç çocukça davran di mal
sinir olunca kızarıyorum kızardıkça sinir oluyorum ,kizgin,sinir ol kızar kızar sinir ol
ateist davranma mal gel ,kizgin,ateist davran mal gel
damar yoluna direk takılan yolluya sinir oluyorum kızım ,kizgin,damar yolun direk takıl yol sinir ol kız
aşırı sinirlendim üstüne üstlük açım ,kizgin,aşırı sinirlen üstüne üst açı
ay birde kokluyorlar sinir oldum içine gir içine tövbe yarabbi ,kizgin,ay bird kokl sinir ol iç gir iç tövbe yarabbi
lan saatte doğa fotosu paylaşmak mal ,kizgin,lan saat doğ foto paylaş mal
içerdeye ödül vermediler an exoya haksızlık yapılmış kızgınım ,kizgin,içerdeye ödül ver an exoya hak yap kızgın
lan salak salak konuşup delirtmeyin kes lan sendeee yarım aklınla konuşup durma ,kizgin,lan salak salak konuş delir kes lan sendeee yarım akl konuş dur
insanlara soy ağacının açıklamasını yapsın kafayı yiyeceğim ,kizgin,insan soy ağac açıklama yap kafa yi
fena takıldım bak sinir oldum okuyamıyorum yaz hele ,kizgin,fena takıl bak sinir ol oku yaz hele
beyaz showu izledim demet özdemirin bilmişliği sinir oldum takipten çıktım ,kizgin,beyaz show izle demet özdemir bil sinir ol takip çık
gezegen saçma sapan insanlarla dolu ,kizgin,gezegen saçma sap insan dolu
gece açık sözlü agresifim sanırım kaşınıyorum ,kizgin,gece açık sözlü agresif san kaşı
gömleğini ütüleyeyim baba diyorum mavilerini diyor mavi kafayı yiyeceğim ,kizgin,gömleğ ütüle baba di mavi di mavi kafa yi
bune yavaş internet sinirliyim söveceğim ,kizgin,bune yavaş internet sinirli söv
rakipleri yenemediği sinirlendim nolur yanlış anlama ,kizgin,rakip yen sinirlen nolur yanlış anla
gün terkedip deniz kenarında dans ede ede tertemiz delireceğim ,kizgin,gün terked de kenar dans ed ed tertemiz delir
gündür aşırı derecede sinirliyim sebepsizce ,kizgin,gün aşırı derece sinirli sebep
baş ağrısı ders çalışmama engel yüzden agresifim ,kizgin,baş ağrı ders çalış engel yüz agresif
içimdeki kini üzerinize kusmak istiyorum aşırı sinirliyim ,kizgin,iç kin üzer kus ist aşırı sinirli
soyağacıma bakamadım agresifim site acilen açılmalı ,kizgin,soyağacıma bak agresif sit acilen aç
düzen takıntınız varsa fotoğraflar yüksek derecede sinir bozucu ,kizgin,düz takıntı var fotoğrafla yüksek derece sinir boz
efsane uyumu saçma sapan şeylerle harcıyorsun ruh hastası senarist ,kizgin,efsane uyum saçma sap şey harc ruh hasta senarist
kesinlikle aksine öfkeleniyorum inceden ,kizgin,kesinlikle aksine öfkelen inceden
tanımak istemiyorum arkadaşlarından nefret ediyorum ,kizgin,tanı iste arkadaş nefret ed
aptal insanlarla muhattap olmayım tekrarlamaktan nefret ediyorum ,kizgin,aptal insan muhattap olmayım tekrarla nefret ed
köylü müsünüz nesiniz sinirlendim ,kizgin,köy mü ne sinirlen
yaş çabuk geçiyor yıllar kafayı yiyeceğim ,kizgin,yaş çabuk geç yılla kafa yi
sabaha cs go atıp ruslara küfür edicem ,kizgin,sabaha cs go at rus küfür edicem
agresifim karşıma çıkanın ağzına vurasım ,kizgin,agresif karşı çık ağz vur
mal bağırasım ,kizgin,mal bağır
millete ay gelen arşiv özelliği yeni gelmiş ey instagram mal ,kizgin,millet ay gelen arşiv özelliğ yeni gel ey instagram mal
kanıtlamaya çalışıyorsun mal ,kizgin,kanıtla çalış mal
of sinirleniyorum top sinir küpü oldum ,kizgin,of sinirlen top sinir küp ol
doğrusu yanlışı ağrısı sancısı diyen nilüfer bağıracağım kaldı ,kizgin,doğrusu yanlış ağrı sancı di nilüfer bağır kal
kasıtlı özürle düzeltilemez defol ülkemden ,kizgin,kasıt özür düzelt defol ülke
sesin kulaklarımdan gitmiyor kafayı yiyeceğim ,kizgin,ses kulak git kafa yi
saatlerdir yataktan kalkıp duş alayım uğraşıyorum kalkamıyorum delireceğim ,kizgin,saat yatak kalk duş al uğraş kalk delir
ara sinir oluyorum dayak yiyeceğim yada dayak atıcam açıklaması yok ,kizgin,ara sinir ol dayak yi yad dayak atıcam açıklama yok
of güçlü diziler star gerizekalı ,kizgin,of güçlü dizile star gerizekalı
kramp nefret ediyorum ,kizgin,kramp nefret ed
özelden attığın mesaja dikkat et mal ,kizgin,özel at mesaj dikkat et mal
direkt kupayı al istersen kardeşim mal ,kizgin,direkt kupa al iste kardeş mal
saçma sapan hatalar yapıyoruz şimdiye fark sayıydı ,kizgin,saçma sap hata yap şimdi fark say
agresifim insanlar gerizekalı olmaz rüya ,kizgin,agresif insan gerizekalı olmaz rüya
sınavım sinirliyim agresifim ,kizgin,sınav sinirli agresif
sinirliyim kilo dondurma anca geçirir ,kizgin,sinirli kilo dondurma anca geçir
ciddi bi diyete başladım aşırı agresifim aşırı yalnız ,kizgin,ciddi bi diyet başla aşırı agresif aşırı yalnız
burda gıybetını yapmayacaksak twit atalım mal ,kizgin,bur gıybetını yap twit at mal
çevrem gerizekalı dolu kankam ,kizgin,çevre gerizekalı dolu kanka
beklenen anlardan nefret ediyorum doğaçlama takılsanıza ,kizgin,bek an nefret ed doğaçlama takıl
saçma sapan kişilere tahammülüm kalmadı ,kizgin,saçma sap kişi tahammül kal
gerizekalı sınıf arkadaşlarımı görmeye hazır değilim ,kizgin,gerizekalı sınıf arkadaş gör hazır değil
tokamı buldum düzgün toplamıyor aşırı gevşemiş sinirden kudurdum ,kizgin,toka bul düzgün topla aşırı gevşe sinir kudur
anla büyük harflerden ürktüm ,korku,anla büyük harf ürk
rezil rüya gördüm bugün ürktüm ,korku,rezil rüya gör bugün ürk
içinizde öldürdüğünüz kişiyi karşınızda görmek korkutucu ,korku,iç öldür kişi karşı gör korkut
rüzgar sesi korkutucu ,korku,rüzgar se korkut
kuş fobim evde kuş yaşıyor ,korku,kuş fobi ev kuş yaş
ikizler burcuna fobim ,korku,ikizle burc fobi
özel hayatıma burnunu sokan insanlara fobim ,korku,özel hayat burn sok insan fobi
erken yatma fobim ciddi ciddi korkuyorum uyumaktan ,korku,erken yat fobi ciddi ciddi kork uyu
dişçiye gitmem gerekiyor lakin dişçi fobim ,korku,diş git gerek lakin diş fobi
polonyada doğalgaz boru hattında patlama ,korku,polonya doğalgaz bor hatt patla
yeni kuş biçim suratıma atlıyor ödüm koptu resmen ,korku,yeni kuş biçim surat atl öd kop resmen
gördüğüm kabus yüzünden gece uyumadım ,korku,gör kabus yüzünden gece uyu
kalpsiz olmanız gerçekten korkutucu ,korku,kalp ol gerçekten korkut
korku filmi izleyemiyorum gerçekten korkuyorum ,korku,korku film izle gerçekten kork
ayındaki dolu yağışında yolculuk yapan uçağın korku dolu anları ,korku,ay dolu yağ yolcu yap uçağ korku dolu an
nijeryada bombalı saldırı ölü yaralı ,korku,nijerya bomba saldırı ölü yar
belge unutulsun patlama olabilir afrine girilebilir ,korku,belge unut patla ol afrin gir
harcadım atmde bekliyorum korkuyorum ,korku,harca atm bekl kork
kedilerin hayvanlardan korkutucu anlar ,korku,kedi hayvan korkut anla
kanada afrindeki askeri eylemlerin tırmanması endişe verici ,korku,kana afrin askeri eylem tırman endişe ver
nolur moda bulsun ödüm koptu hanımefendi ,korku,nolur moda bul öd kop hanımefendi
demin deprem sandım ödüm koptu ellerim titriyor korkudan ,korku,demin deprem san öd kop elle titr korku
umut bulut fenerbahçe’de okudum ödüm koptu ,korku,umut bulut fenerbahçe oku öd kop
öldün kaldın endişelendim ,korku,öl kal endişelen
geleneksel kar tweetlerinizi kaldı endişelendim ,korku,gelenek kar tweet kal endişelen
alaska’da deprem olmuş endişelendim nasılsın ,korku,alaska deprem ol endişelen nasıl
direktiflerden kadın irkildim vah erkeklere ,korku,direktif kadın irkil vah erkek
kobra geçiyor irkildim şuan allahım koru yarabbim ,korku,kobra geç irkil şua allah koru yarabbi
bilemedim doğruysa vahim durum okurken irkildim ,korku,bil doğru vahim durum oku irkil
ardeşim montunu arkama şekil koymuş birden arkama dönünce irkildim ,korku,ardeşim mont arka şekil koy birden arka dön irkil
dalıp gitmişim yıldırım demirörenin konuşmasıyla irkildim dinliyorum ,korku,dal git yıldırım demirören konuş irkil dinl
içim geçmişti uyuyordum tweet bildirimine irkildim ,korku,içim geç uy tweet bildirim irkil
aniden aklıma sayısı geldi birden irkildim ,korku,aniden akl sayı gel birden irkil
bayadır kaos görmüyordum taymda görünce bi irkildim ,korku,ba kaos gör taymda gör bi irkil
kabus kabus rüya gördüm ,korku,kabus kabus rüya gör
